상호명,주소,업종대분류,업종중분류,업종소분류,위도,경도
한아신약개발,서울특별시 광진구 구의동 252-14,도매/유통/무역,화장품/비누/세정제도매,화장품/비누/세정제도매-종합,37.54417,127.09262
커피노키오,서울특별시 강동구 암사동 493-7,음식,커피점/카페,커피전문점/카페/다방,37.5582352,127.1308542
태광바이오,서울특별시 영등포구 양평동4가 80,,,,37.53689,126.89638
부산아지매국밥,서울특별시 강남구 논현동 232-17,음식,한식,한식/백반/한정식,37.5123018,127.0294935
리버파크뷔페,서울특별시 광진구 광장동 22-1,음식,부페,종합부페,37.54711,127.10414
스위트문,서울특별시 강서구 가양동 449-19,제조,식품가공/제조,종합식품제조,37.5663502,126.8525524
홈플러스,서울특별시 강서구 등촌동 639-11,음식,분식,라면김밥분식,37.5498936,126.86025
참다한홍삼,서울특별시 양천구 목동 907-7,소매,건강/미용식품,인삼제품판매,37.53608,126.87585
동아수산,서울특별시 강남구 도곡동 467-17,제조,식품가공/제조,종합식품제조,37.4878395,127.0438569
교동씨엠,서울특별시 강남구 삼성동 159-7,제조,식품가공/제조,종합식품제조,37.5147838,127.0543618
지에스25상암아이티타워,서울특별시 마포구 상암동 1590,소매,종합소매점,편의점,37.5715723,126.8728063
롯데쇼핑,서울특별시 노원구 중계동 361,음식,한식,갈비/삼겹살,37.6579363,127.074692
비보,서울특별시 마포구 서교동 331-9,음식,양식,정통양식/경양식,37.5550711,126.9238244
CU,서울특별시 종로구 신문로2가 89-29,소매,종합소매점,편의점,37.57073,126.96859
치킨마루,서울특별시 강서구 마곡동 743,음식,유흥주점,호프/맥주,37.56619,126.8255083
그라찌에,서울특별시 영등포구 양평동5가 20-3,음식,커피점/카페,커피전문점/카페/다방,37.53906,126.8928
순천당한의원,서울특별시 동대문구 제기동 889-26,의료,병원,한의원,37.58465,127.03678
얌얌,서울특별시 강남구 도곡동 919-7,음식,분식,라면김밥분식,37.4878395,127.0438569
